etf_ticker,stock_ticker,stock_name,sector,weight_pct,date
0056,2353,宏碁,電腦週邊,0.71,2026-06-05
0056,1102,亞泥,水泥營建,0.69,2026-06-05
0056,2385,群光,電腦週邊,0.68,2026-06-05
0056,2027,大成鋼,鋼鐵,0.63,2026-06-05
0056,3023,信邦,連接器線材,0.48,2026-06-05
0056,3005,神基,電腦週邊,0.44,2026-06-05
0056,9904,寶成,紡織製鞋,0.39,2026-06-05
0056,1319,東陽,汽車,0.35,2026-06-05
0056,1477,聚陽,紡織製鞋,0.34,2026-06-05
0056,2645,長榮航太,航運,0.32,2026-06-05
0056,2006,東和鋼鐵,鋼鐵,0.3,2026-06-05
0056,6176,瑞儀,光電顯示,0.28,2026-06-05
00878,2382,廣達,電子代工,11.16,2026-06-05
00878,2891,中信金,金融,9.85,2026-06-05
00878,2882,國泰金,金融,5.87,2026-06-05
00878,2357,華碩,電腦週邊,5.41,2026-06-05
00878,2603,長榮,航運,4.17,2026-06-05
00878,2303,聯電,晶圓代工,3.85,2026-06-05
00878,2454,聯發科,IC設計,3.7,2026-06-05
00878,2887,台新新光金,金融,2.66,2026-06-05
00878,2379,瑞昱,IC設計,2.63,2026-06-05
00878,3711,日月光投控,封測,2.59,2026-06-05
00878,2301,光寶科,電源供應,2.55,2026-06-05
00878,2881,富邦金,金融,2.54,2026-06-05
00878,5347,世界先進,晶圓代工,2.48,2026-06-05
00878,3045,台灣大,電信服務,2.46,2026-06-05
00878,2885,元大金,金融,2.44,2026-06-05
00878,3034,聯詠,IC設計,2.43,2026-06-05
00878,4904,遠傳,電信服務,2.41,2026-06-05
00878,4958,臻鼎-KY,PCB,2.39,2026-06-05
00878,2886,兆豐金,金融,2.37,2026-06-05
00878,1216,統一,食品,2.31,2026-06-05
00878,3231,緯創,電子代工,2.29,2026-06-05
00878,2356,英業達,電子代工,2.28,2026-06-05
00878,2412,中華電,電信服務,2.26,2026-06-05
00878,2376,技嘉,電腦週邊,2.05,2026-06-05
00878,2912,統一超,零售,1.95,2026-06-05
00878,2880,華南金,金融,1.94,2026-06-05
00878,3293,鈊  象,其他,1.86,2026-06-05
00878,2618,長榮航,航運,1.67,2026-06-05
00878,5871,中租-KY,金融,1.66,2026-06-05
00878,5876,上海商銀,金融,1.62,2026-06-05
00919,2891,中信金,金融,11.96,2026-06-05
00919,2882,國泰金,金融,11.84,2026-06-05
00919,2881,富邦金,金融,10.04,2026-06-05
00919,2303,聯電,晶圓代工,8.52,2026-06-05
00919,2357,華碩,電腦週邊,6.4,2026-06-05
00919,2887,台新新光金,金融,5.9,2026-06-05
00919,2603,長榮,航運,5.12,2026-06-05
00919,2382,廣達,電子代工,4.77,2026-06-05
00919,3034,聯詠,IC設計,3.76,2026-06-05
00919,2618,長榮航,航運,2.09,2026-06-05
00919,3036,文曄,電子通路,1.66,2026-06-05
00919,2883,凱基金,金融,1.55,2026-06-05
00919,6239,力成,封測,1.53,2026-06-05
00919,2609,陽明,航運,1.44,2026-06-05
00919,2474,可成,其他電子,1.37,2026-06-05
00919,2404,漢唐,半導體設備材料,1.34,2026-06-05
00919,5347,世界,晶圓代工,1.19,2026-06-05
00919,5522,遠雄,水泥營建,1.0,2026-06-05
00919,6121,新普,電源供應,0.92,2026-06-05
00919,2451,創見,記憶體,0.87,2026-06-05
00919,2504,國產,水泥營建,0.79,2026-06-05
00919,2637,慧洋-KY,航運,0.72,2026-06-05
00919,3293,鈊象,其他,0.68,2026-06-05
00919,3702,大聯大,電子通路,0.6,2026-06-05
00919,1477,聚陽,紡織製鞋,0.58,2026-06-05
00919,8112,至上,電子通路,0.52,2026-06-05
00919,6176,瑞儀,光電顯示,0.51,2026-06-05
00919,2458,義隆,IC設計,0.49,2026-06-05
00919,2347,聯強,電子通路,0.42,2026-06-05
00919,1402,遠東新,紡織製鞋,0.41,2026-06-05
00919,3211,順達,電源供應,0.39,2026-06-05
00919,4915,致伸,電子代工,0.38,2026-06-05
00919,2027,大成鋼,鋼鐵,0.37,2026-06-05
00919,2211,長榮鋼,鋼鐵,0.35,2026-06-05
00919,8070,長華*,半導體設備材料,0.31,2026-06-05
00919,2542,興富發,水泥營建,0.24,2026-06-05
00919,8454,富邦媒,零售,0.23,2026-06-05
00919,6412,群電,電源供應,0.22,2026-06-05
00919,1319,東陽,汽車,0.2,2026-06-05
00919,2597,潤弘,水泥營建,0.19,2026-06-05
00919,1215,卜蜂,食品,0.18,2026-06-05
00919,6757,台灣虎航,航運,0.17,2026-06-05
00919,1210,大成,食品,0.16,2026-06-05
00919,6890,來億-KY,紡織製鞋,0.15,2026-06-05
00919,6005,群益證,金融,0.14,2026-06-05
00919,8422,可寧衛*,其他,0.09,2026-06-05
00919,6278,台表科,電子代工,0.07,2026-06-05
00940,2357,華碩,電腦週邊,5.32,2026-06-05
00940,3034,聯詠,IC設計,3.39,2026-06-05
00940,2356,英業達,電子代工,3.26,2026-06-05
00940,2618,長榮航,航運,2.89,2026-06-05
00940,1513,中興電,重電綠能,2.82,2026-06-05
00940,2404,漢唐,半導體設備材料,2.8,2026-06-05
00940,2385,群光,電腦週邊,2.7,2026-06-05
00940,2891,中信金,金融,2.65,2026-06-05
00940,2303,聯電,晶圓代工,2.63,2026-06-05
00940,2379,瑞昱,IC設計,2.57,2026-06-05
00940,8069,元太,光電顯示,2.52,2026-06-05
00940,3293,鈊象,其他,2.46,2026-06-05
00940,2881,富邦金,金融,2.41,2026-06-05
00940,3036,文曄,電子通路,2.27,2026-06-05
00940,2912,統一超,零售,2.21,2026-06-05
00940,3045,台灣大,電信服務,2.12,2026-06-05
00940,3406,玉晶光,光學鏡頭,2.04,2026-06-05
00940,2892,第一金,金融,2.02,2026-06-05
00940,3706,神達,電子代工,1.98,2026-06-05
00940,2610,華航,航運,1.96,2026-06-05
00940,2890,永豐金,金融,1.93,2026-06-05
00940,2885,元大金,金融,1.84,2026-06-05
00940,2615,萬海,航運,1.8,2026-06-05
00940,5269,祥碩,IC設計,1.79,2026-06-05
00940,3042,晶技,被動元件,1.66,2026-06-05
00940,2801,彰銀,金融,1.65,2026-06-05
00940,3023,信邦,連接器線材,1.63,2026-06-05
00940,6139,亞翔,半導體設備材料,1.62,2026-06-05
00940,6414,樺漢,電腦週邊,1.6,2026-06-05
00940,2454,聯發科,IC設計,1.56,2026-06-05
00940,9904,寶成,紡織製鞋,1.52,2026-06-05
00940,3702,大聯大,電子通路,1.51,2026-06-05
00940,2474,可成,其他電子,1.48,2026-06-05
00940,3044,健鼎,PCB,1.47,2026-06-05
00940,6176,瑞儀,光電顯示,1.44,2026-06-05
00940,2458,義隆,IC設計,1.42,2026-06-05
00940,1102,亞泥,水泥營建,1.41,2026-06-05
00940,6278,台表科,電子代工,1.36,2026-06-05
00940,1319,東陽,汽車,1.35,2026-06-05
00940,2421,建準,散熱,1.32,2026-06-05
00940,4915,致伸,電子代工,1.28,2026-06-05
00940,2393,億光,光電顯示,0.97,2026-06-05
00940,6196,帆宣,半導體設備材料,0.74,2026-06-05
00940,8016,矽創,IC設計,0.7,2026-06-05
00940,5469,瀚宇博,PCB,0.67,2026-06-05
00940,2915,潤泰全,零售,0.27,2026-06-05
